brain_code	main	species	"全称(L.W.Swanson, 2004)"	简称	"同义词全称(Paxinos & Watson, 2007 )"	同义词简称	其他同义词	简称
R1	"dorsal horn, spinal cord"	Rat	"dorsal horn, spinal cord"	DH				
R2	nucleus accumbens	Rat	nucleus accumbens	ACB	accumbens nucleus	Acb		
R2.1	accumbens nucleus， core	Rat			accumbens nucleus， core	AcbC		Nacc
R2.2	accumbens nucleus，shell	Rat			accumbens nucleus，shell	AcbSh		
R3	periaqueductal gray	Rat	periaqueductal gray	PAG	periaqueductal gray	PAG		
R3.1	"periaqueductal gray, dorsal division"	Rat	"periaqueductal gray, dorsal division"	PAGd			the dorsal PAG	
R3.12	"periaqueductal gray, dorsolateral division"	Rat	"periaqueductal gray, dorsolateral division"	PAGdl	dorsolateral periaqueductal gray	DLPAG	dorsolateral periaqueductal gray	DLPAG
R3.2	"periaqueductal gray, medial division"	Rat	"periaqueductal gray, medial division"	PAGm	dorsomedial periaqueductal gray	DMPAG	dorsomedial periaqueductal gray	
R3.3	lateral periaqueductal gray	Rat			lateral periaqueductal gray	LPAG		
R3.31	"periaqueductal gray, ventrolateral division"	Rat	"periaqueductal gray, ventrolateral division"	PAGvl	ventrolateral periaqueductal gray	VLPAG		
R3.4	"periaqueductal gray, rostral division"	Rat	"periaqueductal gray, rostral division"	PAGr			rostral PAG	
R4	spinal nucleus of the trigeminal	Rat	spinal nucleus of the trigeminal	SPV	spinal trigeminal nucleus	Sp5	medullary dorsal horn	Vc
R4.1	"spinal nucleus of the trigeminal, caudal part_sw"	Rat	"spinal nucleus of the trigeminal, caudal part_sw"	SPVC	"spinal trigeminal nucleus, caudal part"	Sp5C	Trigeminal spinal nucleus caudalis	SNI
R4.2	"spinal nucleus of the trigeminal, interpolar part_sw"	Rat	"spinal nucleus of the trigeminal, interpolar part_sw"	SPVI	"spinal trigeminal nucleus, interpolar part"	Sp5I	subnucleus interpolaris	
R4.3	"spinal nucleus of the trigeminal,oral part"	Rat	"spinal nucleus of the trigeminal,oral part"	SPVO				
R4.31	"spinal nucleus of the trigeminal, oral part, ventrolateral part"	Rat	"spinal nucleus of the trigeminal, oral part, ventrolateral part"	SPVOvl				
R5	Parabrachial nucleus	Rat	Parabrachial nucleus	PB			PBN	
R5.1	"parabrachial nucleus, lateral division"	Rat	"parabrachial nucleus, lateral division"	PBl	lateral parabrachial nucleus	LPB	lateral subnucleus	
R5.11	"parabrachial nucleus, external lateral part"	Rat	"parabrachial nucleus, external lateral part"	PBle	"lateral parabrachial nucleus, external part"	LPBE	Pbel	
R5.12	parabrachial nucleus，central lateral part	Rat	parabrachial nucleus，central lateral part	PBlc	"lateral parabrachial nucleus, central part"	LPBC	PBcl	
R5.13	parabrachial nucleus， dorsal lateral part	Rat	parabrachial nucleus， dorsal lateral part	PBld	"lateral parabrachial nucleus, dorsal part"	LPBD	PBdl	
R5.14	parabrachial nucleus，superior lateral part	Rat	parabrachial nucleus，superior lateral part	PBls	"lateral parabrachial nucleus, superior part"	LPBS	PBsl	
R5.15	parabrachial nucleus，internal lateral part	Rat	parabrachial nucleus，internal lateral part	Pbli	"lateral parabrachial nucleus, internal part"	LPBI	PBil	
R5.2	parabrachial nucleus，medial division	Rat	parabrachial nucleus，medial division	PBm	medial parabrachial nucleus	MPB		
R5.21	parabrachial nucleus，external medial part	Rat	parabrachial nucleus，external medial part	Pbme	medial parabrachial nucleus external part	MPBE	Pbem	
R6	ventral tegmental area	Rat	ventral tegmental area	VTA	ventral tegmental area	VTA		
R6.1	"ventral tegmental area, rostral part"	Rat			"ventral tegmental area, rostral part"	VTAR	rostral sections of the VTA	
R7	locus ceruleus	Rat	locus ceruleus	LC	locus coeruleus	LC		
R8	central gray	Rat	central gray	CG	central gray	CG		
R9	dorsal nucleus raphé	Rat	dorsal nucleus raphé	DR	dorsal raphe nucleus	DR		
R9.1	"dorsal raphe nucleus, caudal part"	Rat			"dorsal raphe nucleus, caudal part"	DRC		
R9.2	"dorsal raphe nucleus, lateral part"	Rat			"dorsal raphe nucleus, lateral part"	DRL		
R10	lateral reticular nucleus	Rat	lateral reticular nucleus	LRN	lateral reticular nucleus	LRt		Gia
R10.1	"lateral reticular nucleus, parvicellular part"	Rat	"lateral reticular nucleus, parvicellular part"	LRNp	"lateral reticular nucleus,parvicellular part"	LRtPC		
R10.2	"lateral reticular nucleus,subtrigeminal part"	Rat			"lateral reticular nucleus,subtrigeminal part"	LRtS5		
R11	paratrigeminal nucleus	Rat	paratrigeminal nucleus	PAT	paratrigeminal nucleus	Pa5		
R12	paramedian reticular nucleus	Rat	paramedian reticular nucleus	PMR	paramedian reticular nucleus	PMn		
R13	inferior olivary complex	Rat	inferior olivary complex	IO	inferior olive	IO	inferior olivary nuclei	
R13.1	inferior olivary complex， medial accessory olive	Rat	inferior olivary complex， medial accessory olive	Ioma	inferior olive， medial nucleus	IOM	inferior medial olivary nucleus	
R14	intermediate reticular nucleus	Rat			intermediate reticular nucleus	Irt		
R15	gigantocellular reticular nucleus	Rat	gigantocellular reticular nucleus	GRN				
R15.1	gigantocellular reticular nucleus， alpha part	Rat			gigantocellular reticular nucleus， alpha part	GiA		
R16	cingulate region	Rat	cingulate region	CNG	cingulate cortex	Cg		Rob
R16.1	anterior cingulate area	Rat	anterior cingulate area	ACA	"cingulate cortex, area 1/area 2"	Cg1/Cg2	anterior cingulate cortex	PVN
R17	trigeminal ganglion	Rat	trigeminal ganglion	GV	trigeminal ganglion	5Gn	trigeminal nucleus	
R17.1	trigeminal nerve	Rat	trigeminal nerve	Vn				
R18	reticular formation	Rat	reticular formation	RET	mesencephalic reticular formation	mRt	dorsal reticular nucleus	
R18.1	r1 reticular formation	Rat			r1 reticular formation	r1Rt		
R18.2	r2 reticular formation	Rat			r2 reticular formation	r2Rt		
R18.3	r3 reticular formation	Rat			r3 reticular formation	r3Rt		
R19	Kölliker-Fuse subnucleus (of PB)	Rat	Kölliker-Fuse subnucleus (of PB)	KF	Kîlliker-Fuse nucleus	KF		
R20	lateral paragigantocellular nucleus	Rat			lateral paragigantocellular nucleus	LPGi		
R21	mediodorsal nucleus thalamus	Rat	mediodorsal nucleus thalamus	MD	mediodorsal thalamic nucleus	MD	dorsomedial nucleus	
R22	nucleus of the solitary tract	Rat	nucleus of the solitary tract	NTS	nucleus of the solitary tract	Sol	solitary tract nucleus	
R22.1	"nucleus of the solitary tract, central part"	Rat	"nucleus of the solitary tract, central part"	NTSce	"nucleus of the solitary tract, central part"	SolCe	central part of nucleus of the solitary tract	
R22.2	nucleus of the solitary tract，medial part_sw	Rat	nucleus of the solitary tract，medial part_sw	NTSm	nucleus of the solitary tract， medial part	SolM	medial part of nucleus of the solitary tract	
R22.3	"nucleus of the solitary tract, lateral part"	Rat	"nucleus of the solitary tract, lateral part"	NTSl	"nucleus of the solitary tract, lateral part"	SolL	lateral part of nucleus of the solitary tract	
R22.4	parasolitary nucleus_sw	Rat	parasolitary nucleus_sw	PAS	solitary nucleus， dorsolateral part	SolD	dorsolateral part of nucleus of the solitary tract	
R22.5	nucleus of the solitary tract，intermediate part	Rat			nucleus of the solitary tract，intermediate part	SolIM	dorsolateral part of nucleus of the solitary tract	
R22.6	nucleus of the solitary tract， rostrolateral part	Rat			nucleus of the solitary tract， rostrolateral part	SolRL	rostrolateral part of nucleus of the solitary tract	
R23	nucleus raphé obscurus	Rat	nucleus raphé obscurus	RO	raphe obscurus nucleus	Rob	nucleus raphe obscurus	CeA
R24	nucleus raphé pallidus_sw	Rat	nucleus raphé pallidus_sw	RPA	raphe pallidus nucleus	RPa		DMN
R25	paraventricular hypothalamic nucleus_sw	Rat	paraventricular hypothalamic nucleus_sw	PVH	paraventricular hypoth nucleus	Pa	paraventricular nucleus (PVN) of the hypothalamus	
R25.11	"paraventricular hypothalamic nucleus, anterior magnocellular part"	Rat	"paraventricular hypothalamic nucleus, anterior magnocellular part"	PVHam			anterior commissural nucleus	PGI
